#separator:Tab
#html:true
#deck:🕉️ Vedanta Glossary
#notetype:Basic
#columns:Key	Front	Back
#guid column:1
vedanta:amānitvam	<center><big>अमानित्वम्</big></center>	<b>amānitvam</b><br><br>Absence of pride and arrogance.
vedanta:āmantraṇam	<center><big>आमन्त्रणम्</big></center>	<b>āmantraṇam</b><br><br>Permission; calling out.
vedanta:amara	<center><big>अमर</big></center>	<b>amara</b><br><br>Imperishable, undying.
vedanta:amarakośaḥ	<center><big>अमरकोशः</big></center>	<b>amarakośaḥ</b><br><br>Name of the most popular Sanskrit lexicon.
vedanta:amātra	<center><big>अमात्र</big></center>	<b>amātra</b><br><br>Immeasurable, boundless.
vedanta:āmnāyaḥ	<center><big>आम्नायः</big></center>	<b>āmnāyaḥ</b><br><br>Advice; instruction; sacred tradition; sacred texts ; study.
vedanta:amṛtam	<center><big>अमृतम्</big></center>	<b>amṛtam</b><br><br>Nectar of immortality; immortality.
vedanta:amṛtatvam	<center><big>अमृतत्वम्</big></center>	<b>amṛtatvam</b><br><br>Immortality; mokṣaḥ .
vedanta:aṃśaḥ	<center><big>अंशः</big></center>	<b>aṃśaḥ</b><br><br>Share, part, portion; member; aspect.
vedanta:aṃśuḥ	<center><big>अंशुः</big></center>	<b>aṃśuḥ</b><br><br>A ray, beam of light; the sun; a small or minute pa rticle.
vedanta:amūrta	<center><big>अमूर्त</big></center>	<b>amūrta</b><br><br>Formless; indestructible; subtle.
vedanta:āmuṣmika	<center><big>आमुष्मिक</big></center>	<b>āmuṣmika</b><br><br>Belonging to the next or other world.
vedanta:amutra	<center><big>अमुत्र</big></center>	<b>amutra</b><br><br>indeclinable In that place; in the next world; there (in what ha s been said before).
vedanta:anabhiṣvaṅgaḥ	<center><big>अनभिष्वङ्गः</big></center>	<b>anabhiṣvaṅgaḥ</b><br><br>Absence of extreme attachment.
vedanta:anādi	<center><big>अनादि</big></center>	<b>anādi</b><br><br>Without beginning ( e.g. jīvah, Éśvara, cidātmā, avidyā, taccitoḥ yogaḥ ).
vedanta:anadhigata	<center><big>अनधिगत</big></center>	<b>anadhigata</b><br><br>That which cannot be arrived at by perception and i nference.
vedanta:analaḥ	<center><big>अनलः</big></center>	<b>analaḥ</b><br><br>Fire.
vedanta:analam	<center><big>अनलम्</big></center>	<b>analam</b><br><br>Never enough.
vedanta:anāmaka	<center><big>अनामक</big></center>	<b>anāmaka</b><br><br>Nameless, infamous.
vedanta:anāmaya	<center><big>अनामय</big></center>	<b>anāmaya</b><br><br>Free from affliction; healthy.
vedanta:ānandabhuk	<center><big>आनन्दभुक्</big></center>	<b>ānandabhuk</b><br><br>A description of ātmā as sleeper; the enjoyer of svarūpa , of self.
vedanta:ānandaḥ	<center><big>आनन्दः</big></center>	<b>ānandaḥ</b><br><br>The true nature of happiness; wholeness; anantaḥ .
vedanta:ānandamayaḥ	<center><big>आनन्दमयः</big></center>	<b>ānandamayaḥ</b><br><br>Nothing but knowledge; saturation of degrees of hap piness.
vedanta:ānandamayakośaḥ	<center><big>आनन्दमयकोशः</big></center>	<b>ānandamayakośaḥ</b><br><br>The causal body; abiding in ignorance.
vedanta:ānandana	<center><big>आनन्दन</big></center>	<b>ānandana</b><br><br>Pleasing, delighting.
vedanta:ananta	<center><big>अनन्त</big></center>	<b>ananta</b><br><br>Limitless, eternal, endless, boundless, infinite. Limitless wholeness.
vedanta:anantara	<center><big>अनन्तर</big></center>	<b>anantara</b><br><br>Immediately adjoining; limitless; having no interio r space.
vedanta:anantaram	<center><big>अनन्तरम्</big></center>	<b>anantaram</b><br><br>After.
vedanta:ānantaryam	<center><big>आनन्तर्यम्</big></center>	<b>ānantaryam</b><br><br>Immediate succession, sequence; after which.
vedanta:ananya	<center><big>अनन्य</big></center>	<b>ananya</b><br><br>Not different; identical; not other than.
vedanta:anāpanna	<center><big>अनापन्न</big></center>	<b>anāpanna</b><br><br>Not gained, not gone to; unafflicted.
vedanta:anapeta	<center><big>अनपेत</big></center>	<b>anapeta</b><br><br>Not deviating from, not leaving, not devoid of.
vedanta:anarthaḥ	<center><big>अनर्थः</big></center>	<b>anarthaḥ</b><br><br>Problem; useless object; misfortune; meaninglessnes s; nonsense.
vedanta:ānarthakyam	<center><big>आनर्थक्यम्</big></center>	<b>ānarthakyam</b><br><br>Uselessness, unprofitableness; impropriety.
vedanta:anātha	<center><big>अनाथ</big></center>	<b>anātha</b><br><br>Unsupported; parentless; helpless; having no master .
vedanta:anātmā	<center><big>अनात्मा</big></center>	<b>anātmā</b><br><br>All that is other than self; all objects of consciousness.
vedanta:anavadhānam	<center><big>अनवधानम्</big></center>	<b>anavadhānam</b><br><br>Inattention, inadvertence, carelessness.
vedanta:anavadya	<center><big>अनवद्य</big></center>	<b>anavadya</b><br><br>Faultless, blameless.
vedanta:anavasthā	<center><big>अनवस्था</big></center>	<b>anavasthā</b><br><br>Infinite regression; absence of conclusion; without resting place.
vedanta:anāyāsaḥ	<center><big>अनायासः</big></center>	<b>anāyāsaḥ</b><br><br>Ease, facility, absence of difficulty.
vedanta:aṇḍaḥ	<center><big>अण्डः</big></center>	<b>aṇḍaḥ</b><br><br>Egg.
vedanta:āṇḍa	<center><big>आण्ड</big></center>	<b>āṇḍa</b><br><br>Born from an egg.
vedanta:andha	<center><big>अन्ध</big></center>	<b>andha</b><br><br>Blindeclinable
vedanta:andhakāraḥ	<center><big>अन्धकारः</big></center>	<b>andhakāraḥ</b><br><br>Darkness; ignorance.
vedanta:aneka	<center><big>अनेक</big></center>	<b>aneka</b><br><br>Various; many.
vedanta:aṅgam	<center><big>अङ्गम्</big></center>	<b>aṅgam</b><br><br>The body; a limb; portion.
vedanta:aṅgī	<center><big>अङ्गी</big></center>	<b>aṅgī</b><br><br>That which has parts or attachments or limbs.
vedanta:anidra	<center><big>अनिद्र</big></center>	<b>anidra</b><br><br>Sleepless, awake.
vedanta:animitta	<center><big>अनिमित्त</big></center>	<b>animitta</b><br><br>Causeless, groundless.
vedanta:anirdhārita	<center><big>अनिर्धारित</big></center>	<b>anirdhārita</b><br><br>Not determined or ascertained.
vedanta:anirvacanīya	<center><big>अनिर्वचनीय</big></center>	<b>anirvacanīya</b><br><br>Cannot be taken either as satyam or as tuccham ; understood by implication only; that which cannot be defined.
vedanta:anīṣā	<center><big>अनीषा</big></center>	<b>anīṣā</b><br><br>Helplessness.
vedanta:aniṣṭa	<center><big>अनिष्ट</big></center>	<b>aniṣṭa</b><br><br>Unwished, undesirable, disagreeaable; unlucky; misf ortune.
